CC_FIPS	FULL_NAME_ND
CI	Cruz de Quimpasa
CI	Cuadrilla Diez
CI	Cucao
CI	Cuchuguano
CI	Cucuter
CI	Cuenca
CI	Cuesta Apacheta
CI	Cuesta de Los Gonzalez
CI	Cuesta del Pobre
CI	Cueva Negra
CI	Cuevitas
CI	Cufeo
CI	Culco
CI	Culenar
CI	Culenco
CI	Culiculini
CI	Cullani
CI	Cullinco
CI	Cultane
CI	Cululir
CI	Cumbre Vistosa
CI	Cumina
CI	Cuminalla
CI	Cumpeu
CI	Cumuy
CI	Cunaco
CI	Cunco
CI	Cuncumen
CI	Cunlagua
CI	Cupo
CI	Curacautin
CI	Curacavi
CI	Curaco
CI	Curaco de Linlin
CI	Curaco de Vilupulli
CI	Curana
CI	Curanilahue
CI	Curanipe
CI	Curarrehue
CI	Curauma
CI	Curepto
CI	Curica
CI	Curico
CI	Curimanqui
CI	Curimon
CI	Curinanco
CI	Curivilo
CI	Curtiduria
CI	Cutemu
CI	Cutiguano
CI	Cutijmaya
CI	Cuya
CI	Cuyan
CI	Cuyinco
CI	Cuzcuz
CI	Daitao
CI	Dalcahue
CI	Damascal
CI	Delirio
CI	Detico
CI	Detif
CI	Diaguita
CI	Dichato
CI	Didaico
CI	Diego de Almagro
CI	Dieguito
CI	Diguillin
CI	Diucaco
CI	Diuquin
CI	Divisadero
CI	Docamavida
CI	Dollinco
CI	Domeyko
CI	Domuco
CI	Dona Juana
CI	Donihue
CI	Dos Hermanos
CI	Dos Rios
CI	Duao
CI	Duhatao
CI	Duplijsa
CI	Dupont
CI	E. Sanchez
CI	Ekewern
CI	El # Emboque
CI	El Abanico
CI	El Abra
CI	El Acacio
CI	El Aceite
CI	El Aduar
CI	El Ajial
CI	El Ala
CI	El Alamo
CI	El Alfalfal
CI	El Algarrobal
CI	El Algodon
CI	El Alico
CI	El Almendra
CI	El Almendro
CI	El Alto
CI	El Aparejito
CI	El Arco
CI	El Arenal
CI	El Aromo
CI	El Arrayan
CI	El Asiento
CI	El Astillero
CI	El Atajo
CI	El Azul
CI	El Banco
CI	El Barco
CI	El Barquito
CI	El Baul
CI	El Berraco
CI	El Blanco
CI	El Blanqueado
CI	El Blanquillo
CI	El Bolsico
CI	El Bolson
CI	El Bosque
CI	El Bronce
CI	El Buche
CI	El Cadillal
CI	El Cajon
CI	El Calabozo
CI	El Calvario
CI	El Camaron
CI	El Canelo
CI	El Caracolito
CI	El Cardal
CI	El Carino Botado
CI	El Carmen
CI	El Carrizal
CI	El Carrizo
CI	El Castillo
CI	El Cerrillo
CI	El Chacay
CI	El Chacayal
CI	El Chagaray
CI	El Chanar
CI	El Chocal
CI	El Cielo
CI	El Cobre
CI	El Coipo
CI	El Convento
CI	El Corral
CI	El Cruce
CI	El Crucero
CI	El Culenar
CI	El Cululil
CI	El Cuzco
CI	El Dadin
CI	El Dao
CI	El Diablo
CI	El Duraznito
CI	El Durazno
CI	El Empalme
CI	El Encanado
CI	El Encon
CI	El Engano
CI	El Escorial
CI	El Espino
CI	El Estero
CI	El Frio
CI	El Gato
CI	El Granizo
CI	El Guanaco
CI	El Guape
CI	El Guapi
CI	El Guindo
CI	El Higirio
CI	El Higueral
CI	El Hinojo
CI	El Huaicazo
CI	El Hundimiento
CI	El Ingenio
CI	El Jardin
CI	El Juncal
CI	El Litral
CI	El Llaco
CI	El Llano
CI	El Llano del Totoral
CI	El Loreto
CI	El Maiten
CI	El Majuelo
CI	El Malcal
CI	El Malito
CI	El Malo
CI	El Manzanar
CI	El Manzanito
CI	El Manzano
CI	El Maqui
CI	El Maray
CI	El Marco
CI	El Mechai
CI	El Melon
CI	El Membrillo
CI	El Mirador
CI	El Molino
CI	El Molle
CI	El Monte
CI	El Morado
CI	El Morro
CI	El Nogal
CI	El Ojo de San Pedro
CI	El Olivar
CI	El Olivo
CI	El Paico
CI	El Palomar
CI	El Palqui
CI	El Panadero
CI	El Pangue
CI	El Parral
CI	El Parron
CI	El Pedregal
CI	El Penon
CI	El Peral
CI	El Peralito
CI	El Peumo
CI	El Pino
CI	El Plumero
CI	El Pollo
CI	El Polvo
CI	El Porfiado
CI	El Portillo
CI	El Porvenir
CI	El Potrerillo
CI	El Pozo
CI	El Prado
CI	El Pueblecillo
CI	El Puertecito
CI	El Puerto
CI	El Pulpito
CI	El Quillay
CI	El Quisco
CI	El Retamo
CI	El Retiro
CI	El Rincon
CI	El Roble
CI	El Rodeo
CI	El Romeral
CI	El Romero
CI	El Rosal
CI	El Rosario
CI	El Rulo
CI	El Salado
CI	El Saltillo
CI	El Salto
CI	El Salto Chico
CI	El Salton
CI	El Salvador
CI	El Sanjeado
CI	El Sauce
CI	El Seminario
CI	El Senor de la Tierra
CI	El Sobrante
CI	El Socavon
CI	El Sol
CI	El Tabo
CI	El Tacora
CI	El Tambo
CI	El Tartaro
CI	El Ternerito
CI	El Terron
CI	El Tigre
CI	El Tique
CI	El Tofo
CI	El Tome
CI	El Tonel
CI	El Toro
CI	El Torreon
CI	El Totoral
CI	El Tranquilo
CI	El Transito
CI	El Trapiche
CI	El Traum
CI	El Trebolar
CI	El Turco
CI	El Valle
CI	El Varal
CI	El Volcan
CI	El Yeso
CI	El Zapal
CI	El Zapallo
CI	Empedrado
CI	Enquelca
CI	Enrique Meiggs
CI	Episcacha
CI	Ercilla
CI	Errazuriz
CI	Escapina
CI	Esmeralda
CI	Espantajos
CI	Espejo
CI	Esperanza
CI	Espidja
CI	Espillisa
CI	Esquina
CI	Estacion Aguas Calientes
CI	Estacion Colina
CI	Estacion Desvio Los Choros
CI	Estacion Pinto
CI	Estacion Rio Frio
CI	Estacion San Javier
CI	Estacion Villa Alegre
CI	Estacion Yungay
CI	Estancia Pudeto
CI	Estancia Pusuta
CI	Estancia Ramadillas
CI	Estancia Vieja
CI	Estancia Yendegaia
CI	Estero del Medio
CI	Estero Lago
CI	Estrella
CI	Fachinal
CI	Factoria
CI	Farellones
CI	Finca Agua Dulce
CI	Finca Carrizo
CI	Flor del Desierto
CI	Folilco
CI	Fraguita
CI	Francia
CI	Francke
CI	Freire
CI	Freirina
CI	Fresia
CI	Frutillar
CI	Frutillar Alto
CI	Frutillar Bajo
CI	Frutillares
CI	Fuenzalida
CI	Fundicion
CI	Fundina
CI	Futaleufu
CI	Futrono
CI	Galleguillos
CI	Galpones
CI	Galvarino
CI	Gamboa
CI	Gauchal
CI	General Lagos
CI	General Lagos Guindos
CI	General Lopez
CI	Gessel
CI	Gomero
CI	Gorbea
CI	Granalla
CI	Graneros
CI	Guabun
CI	Guacarhue
CI	Guacate
CI	Guacollo
CI	Guadaba
CI	Guaico
CI	Guailla
CI	Guaillane
CI	Guaitani
CI	Guajacia
CI	Gualaihue
CI	Gualcuna
CI	Guallancallani
CI	Guallatiri
CI	Gualleco
CI	Gualliguaica
CI	Guamalata
CI	Guampulla
CI	Guanacagua
CI	Guanaco
CI	Guanaquero
CI	Guanaquilca
CI	Guancarane
CI	Guaneras Punta Patache
CI	Guanguali
CI	Guanta
CI	Guantija
CI	Guaquen
CI	Guarasina
CI	Guardia Vieja
CI	Guarilihue
CI	Guasco Lipez
CI	Guasco Salinas
CI	Guasquina
CI	Guatacondo
CI	Guatanave
CI	Guatin
CI	Guatulame
CI	Guavina
CI	Guayacan
CI	Guayacanes
CI	Guayun
CI	Guayusca
CI	Guilleumo
CI	Guntro
CI	Gutijane
CI	Hacienda La Calera
CI	Hanga Piko
CI	Hanga Roa
CI	Herradura
CI	Hidango
CI	Hierro Viejo
CI	Higuerita
CI	Higueritas
CI	Hijuela de La Vina
CI	Hijuela Larga
CI	Hijuelas
CI	Hilaricos
CI	Horcon
CI	Hornillos
CI	Hornito
CI	Horno
CI	Hornovinto
CI	Hospicio
CI	Hospital
CI	Hosteria Lanalhue
CI	Huaca
CI	Huacamala
CI	Huaicha
CI	Hualaihue
CI	Hualane
CI	Huallilemu
CI	Hualpen
CI	Hualqui
CI	Huara
CI	Huasco
CI	Huasco Bajo
CI	Huaychani
CI	Huaylluta
CI	Huecahuecan
CI	Huechochelin
CI	Huechun
CI	Huechupin
CI	Huehuinco
CI	Hueilla
CI	Huellahue
CI	Huelon
CI	Huelquen
CI	Huenaliben
CI	Huenao
CI	Huentelauquen
CI	Huentemo
CI	Huepi
CI	Huepil
CI	Huequecura
CI	Huequen
CI	Huequi
CI	Huertos Familiares de San Pedro
CI	Hueso Parado
CI	Hueyelhue
CI	Hueyusca
CI	Huicha
CI	Huilco
CI	Huildad
CI	Huilio
CI	Huillin
CI	Huillinco
CI	Huillinlebu
CI	Huillo
CI	Huilmo Alto
CI	Huilque
CI	Huilqueco
CI	Huilquilemo
CI	Huintil
CI	Huiquilemu
CI	Huiro
CI	Huiscapi
CI	Huite
CI	Huitipa Agua
CI	Huitrapulli
CI	Humapalca
CI	Humberstone
CI	Humberstone and Santa Laura Saltpeter Works
CI	Hurtado
CI	Huyar
CI	Ibacache
CI	Icalma
CI	Ichuac
CI	Idahue
CI	Iglesia Colorada
CI	Iglesia de Codegua
CI	Ignao
CI	Illalla
CI	Illapata
CI	Illapel
CI	Ilque
CI	Ilta
CI	Iluga
CI	Imperial Alto
CI	Imperial Bajo
CI	Inacaliri
CI	Inca de Oro
CI	Incaguasi
CI	Incienso
CI	Independencia
CI	Indio Muerto
CI	Indios
CI	Ines Chica
CI	Infiernillo
CI	Ingeniero Santa Maria
CI	Ingenio
CI	Ingina
CI	Inspector Fernandez
CI	Ipinco
CI	Ipres
CI	Iquilla
CI	Iquinca
CI	Iquique
CI	Irupata
CI	Isla de Briones
CI	Isla de Codegua
CI	Isla de Maipo
CI	Isla de Pirique
CI	Isla del Guindo
CI	Isla Grande
CI	Isla Negra
CI	Islon
CI	Isluga
CI	Itahue
CI	Itiza
CI	Jahuel
CI	Jaillabe
CI	Jaina
CI	Japu
CI	Japucucho
CI	Jarilla
CI	Jaroma
CI	Jarza
CI	Jose Francisco Vergara
CI	Juan Chico
CI	Juan Soldado
CI	Jucuma
CI	Junin
CI	Junquillar
CI	Junta de Chingoles
CI	Juntas de Montosa
CI	Juntas del Potro
CI	Keryma
CI	La Abundancia
CI	La Achira
CI	La Africana
CI	La Aguada
CI	La Amistad
CI	La Angostura
CI	La Antena
CI	La Araucana
CI	La Arena
CI	La Aurora
CI	La Banda
CI	La Barra
CI	La Boca
CI	La Cabana
CI	La Cabreria
CI	La Cachina
CI	La Calera
CI	La Campana
CI	La Canadilla
CI	La Canela
CI	La Capilla
CI	La Catorce Mil
CI	La Cebada
CI	La Cebolla
CI	La Chacarilla
CI	La Chacra
CI	La Chacrita
CI	La Champa
CI	La Chimba
CI	La Chupalla
CI	La Cisterna
CI	La Cobaltera
CI	La Cochilla
CI	La Compania
CI	La Coquimbana
CI	La Cruz
CI	La Cruz de Pica
CI	La Cuesta
CI	La Cumbre
CI	La Dehesa
CI	La Embarrada
CI	La Engorda
CI	La Ensenada
CI	La Ermita
CI	La Escalera
CI	La Esperanza
CI	La Estancia
CI	La Estancilla
CI	La Estrella
CI	La Feria
CI	La Finca
CI	La Florida
CI	La Fragua
CI	La Fundicion
CI	La Gloria
CI	La Goleta
CI	La Granja
CI	La Greda
CI	La Guanaca
CI	La Guardia
CI	La Hacienda
CI	La Herradura
CI	La Higuera
CI	La Higuera Sola
CI	La Higuerilla
CI	La Higuerita
CI	La Hoyada
CI	La Huaica
CI	La Huerta
CI	La Huerta del Maule
CI	La Isla
CI	La Islita
CI	La Javierana
CI	La Junta
CI	La Laguna
CI	La Laja
CI	La Lajuela
CI	La Lata
CI	La Lechuza
CI	La Legua de Macul
CI	La Leonera
CI	La Ligua
CI	La Loma
CI	La Luma
CI	La Lumbrera de Puangue
CI	La Majada
CI	La Maquina
CI	La Maravilla
CI	La Marinana
CI	La Marquesa
CI	La Matancilla
CI	La Matanza
CI	La Mina
CI	La Mina Fortuna
CI	La Mocha
CI	La Montana
CI	La Mora
CI	La Mostaza
CI	La Mula
CI	La Nipa
CI	La Obra
CI	La Olla
CI	La Ortiga
CI	La Ovejeria
CI	La Palma
CI	La Palmilla
CI	La Paloma
CI	La Pampa
CI	La Parcela
CI	La Pasada
CI	La Patagua
CI	La Pataguilla
CI	La Paz
CI	La Pena
CI	La Penuela
CI	La Perez
CI	La Pesca
CI	La Piedra
CI	La Pintana
CI	La Pita
CI	La Placilla
CI	La Platina
CI	La Playa
CI	La Poblacion
CI	La Polvareda
CI	La Polvora
CI	La Portada
CI	La Posada
CI	La Poza
CI	La Poza de Chumilden
CI	La Primavera
CI	La Proa
CI	La Puente
CI	La Puente Alta
CI	La Puerta
CI	La Punta
CI	La Puntilla
CI	La Quebrada
CI	La Quebrada Honda
CI	La Quema
CI	La Queseria
CI	La Rana
CI	La Ratonera
CI	La Recova
CI	La Reina
CI	La Retama
CI	La Retamilla
CI	La Rinconada
CI	La Ruca
CI	La Rudilla
CI	La Rufina
CI	La Serena
CI	La Silleta
CI	La Sossa
CI	La Tetera
CI	La Tirana
CI	La Toroya
CI	La Torre
CI	La Totorita
